job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
Java开发工程师	河南仟泰实业集团有限公司	10000	15000	大专	2	郑州-郑东新区	民营公司	2022-01-01 04:00:37
Java架构师	深圳市倍轻松科技股份有限公司	30000	40000	本科	5-7	深圳-南山区	民营公司	2022-01-01 04:00:37
Java开发工程师	浙江盛瑭贸易有限公司	13000	26000	大专	3-4	杭州-余杭区	民营公司	2022-01-01 04:00:37
Java开发工程师02	锦创科技股份有限公司	10000	12000	本科	3-4	南京-秦淮区	民营公司	2022-01-01 04:00:37
Java开发工程师	北京在信网络技术顾问有限公司	10000	12000	本科	3-4	北京-朝阳区	民营公司	2022-01-01 04:00:37
Java开发工程师	江苏嘉图网络科技股份有限公司	15000	25000	本科	3-4	上海-徐汇区	民营公司	2022-01-01 04:00:37
Java开发组长	深圳市蓝鹰立德科技有限公司	15000	25000	大专	5-7	深圳-南山区	民营公司	2022-01-01 04:00:37
Java高级工程师	上海博奇汽车技术有限公司	20000	25000	本科	5-7	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	武汉迪赛威智能科技有限公司	10000	15000	本科	2	武汉	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳市新鹏供应链管理服务有限公司	10000	14000	本科	1	深圳-罗湖区	民营公司	2022-01-01 04:00:37
高级Java开发工程师	电讯盈科HKT	13000	16000	大专	5-7	广州-越秀区	外资（非欧美）	2022-01-01 04:00:37
Java高级开发工程师	上海航数智能科技有限公司	20000	30000	本科	5-7	上海-闵行区	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳市郑中设计股份有限公司	15000	20000	大专	5-7	深圳-福田区	上市公司	2022-01-01 04:00:37
Java开发工程师	上海佳配汽车零部件有限公司	10000	15000	大专	2	上海-闵行区	民营公司	2022-01-01 04:00:37
Java开发工程师	山东鲁能奥特科技有限公司	4000	5000	本科	无需	泰安	民营公司	2022-01-01 04:00:37
