排名	学校名称	综合得分	星级排名	办学层次
354	黑龙江八一农垦大学	61.06	3	区域一流大学
354	湖北经济学院	61.06	2	区域高水平大学
354	嘉应学院	61.06	2	区域高水平大学
357	北京联合大学	61.05	2	区域高水平大学
357	广西科技大学	61.05	2	区域高水平大学
357	海南热带海洋学院	61.05	2	区域高水平大学
357	浙江万里学院	61.05	1	区域知名大学
357	陕西理工大学	61.05	1	区域知名大学
362	宁波工程学院	61.04	1	区域知名大学
363	江西科技师范大学	61.03	2	区域高水平大学
364	北京农学院	61.02	3	区域一流大学
364	北京印刷学院	61.02	3	区域一流大学
364	长春师范大学	61.02	2	区域高水平大学
364	大理大学	61.02	1	区域知名大学
368	闽南师范大学	61.01	2	区域高水平大学
369	宁夏师范学院	61.00	2	区域高水平大学
369	广东第二师范学院	61.00	2	区域高水平大学
369	广西财经学院	61.00	1	区域知名大学
369	闽江学院	61.00	1	区域知名大学
369	南昌工程学院	61.00	1	区域知名大学
374	沈阳理工大学	60.99	2	区域高水平大学
375	辽宁工业大学	60.98	2	区域高水平大学
376	西藏民族大学	60.97	2	区域高水平大学
376	忻州师范学院	60.97	1	区域知名大学
378	临沂大学	60.96	2	区域高水平大学
379	北京石油化工学院	60.95	2	区域高水平大学
379	西安财经大学	60.95	2	区域高水平大学
379	郑州航空工业管理学院	60.95	1	区域知名大学
379	上海第二工业大学	60.95	1	区域知名大学
383	北京物资学院	60.94	1	区域知名大学
383	上海电机学院	60.94	1	区域知名大学
385	吉林建筑大学	60.93	3	区域一流大学
385	黄冈师范学院	60.93	2	区域高水平大学
385	衡阳师范学院	60.93	1	区域知名大学
388	兰州财经大学	60.92	3	区域一流大学
388	广州航海学院	60.92	2	区域高水平大学
388	洛阳师范学院	60.92	1	区域知名大学
388	湖南文理学院	60.92	1	区域知名大学
388	上海商学院	60.92	1	区域知名大学
388	山西大同大学	60.92	1	区域知名大学
394	南京工程学院	60.89	2	区域高水平大学
394	岭南师范学院	60.89	2	区域高水平大学
396	厦门理工学院	60.88	2	区域高水平大学
396	安徽工程大学	60.88	2	区域高水平大学
396	四川轻化工大学	60.88	1	区域知名大学
399	内蒙古民族大学	60.87	3	区域一流大学
399	牡丹江师范学院	60.87	1	区域知名大学
399	江苏海洋大学	60.87	1	区域知名大学
402	湖州师范学院	60.86	1	区域知名大学
402	重庆科技学院	60.86	1	区域知名大学
402	昆明学院	60.86	1	区域知名大学
402	湖南工程学院	60.86	1	区域知名大学
402	湖南城市学院	60.86	1	区域知名大学
407	曲靖师范学院	60.85	1	区域知名大学
407	湖南科技学院	60.85	1	区域知名大学
409	河北地质大学	60.84	3	区域一流大学
409	楚雄师范学院	60.84	1	区域知名大学
409	湖南第一师范学院	60.84	1	区域知名大学
409	长沙学院	60.84	1	区域知名大学
409	泉州师范学院	60.84	1	区域知名大学
409	邵阳学院	60.84	1	区域知名大学
415	遵义师范学院	60.83	1	区域知名大学
415	太原师范学院	60.83	1	区域知名大学
417	长春工程学院	60.82	1	区域知名大学
418	玉溪师范学院	60.80	1	区域知名大学
418	贵州师范学院	60.80	1	区域知名大学
420	井冈山大学	60.79	2	区域高水平大学
420	内蒙古财经大学	60.79	2	区域高水平大学
420	宝鸡文理学院	60.79	1	区域知名大学
423	滁州学院	60.78	1	区域知名大学
423	北部湾大学	60.78	1	区域知名大学
423	湖南财政经济学院	60.78	1	区域知名大学
426	湖北师范大学	60.77	2	区域高水平大学
426	玉林师范学院	60.77	1	区域知名大学
426	伊犁师范大学	60.77	1	区域知名大学
426	怀化学院	60.77	1	区域知名大学
430	湖北汽车工业学院	60.76	2	区域高水平大学
